,level_0,index,PLAYER_NAME,player_impact_estimate,GAME_COUNT
0,0,226,James Harden,30.08838509366665,89
1,1,333,LeBron James,27.46847214083906,55
2,2,26,Anthony Davis,27.050473699826163,70
3,3,297,Kawhi Leonard,26.125424879693863,88
4,4,180,Giannis Antetokounmpo,26.084681495270914,93
5,5,392,Nikola Jokic,25.04918867410808,95
6,6,438,Russell Westbrook,25.045519206970695,79
7,7,411,Paul George,24.53996064346387,86
8,8,296,Karl-Anthony Towns,24.50480793984563,78
9,9,259,Joel Embiid,24.393254638689957,78
10,10,394,Nikola Vucevic,24.04390842473204,87
11,11,38,Blake Griffin,23.82122189858267,79
13,13,17,Andre Drummond,22.895270269337498,83
14,14,307,Kevin Durant,22.56102090346441,90
15,15,88,Damian Lillard,22.558399538860172,98
16,16,124,Devin Booker,21.679111271425878,70
17,17,372,Mike Conley,21.577158775278793,80
18,18,437,Rudy Gobert,21.52561944713518,86
19,19,325,Kyrie Irving,20.863073795415584,77
20,20,74,Clint Capela,20.8240660630932,79
21,21,302,Kemba Walker,20.753422488050795,82
22,22,339,Luka Doncic,20.586302535683423,74
23,23,460,Stephen Curry,20.571004137173237,91
24,24,45,Bradley Beal,20.39165808835265,82
25,25,107,DeAndre Jordan,20.27398214020347,76
26,26,113,Deandre Ayton,20.162060017587773,71
27,27,35,Ben Simmons,19.545976732504343,91
28,28,533,Zach LaVine,19.457308734941478,68
29,29,326,LaMarcus Aldridge,19.22597442789746,88
30,30,284,Jrue Holiday,19.17708100012616,67
31,31,109,DeMar DeRozan,19.0558614105845,86
32,32,310,Kevin Love,19.02461569998855,29
33,33,483,Tobias Harris,18.883306818686194,94
34,34,260,John Collins,18.63521597818514,62
35,35,264,John Wall,18.544996323194198,34
36,36,72,Chris Paul,18.498371109431684,75
37,37,93,Danilo Gallinari,17.780684859505264,76
38,38,253,Jimmy Butler,17.676217276606234,77
39,39,82,D'Angelo Russell,17.58846001460806,87
40,40,332,Lauri Markkanen,17.538396018034724,57
41,41,287,Julius Randle,17.04975860560696,77
42,42,489,Trae Young,16.897887797386034,82
43,43,513,Victor Oladipo,16.617837875432375,36
44,44,191,Hassan Whiteside,16.509480455729484,79
45,45,293,Jusuf Nurkic,16.496483940315482,73
46,46,3,Al Horford,16.29780517830139,78
47,47,158,Enes Kanter,16.183922920595716,90
48,48,496,Tristan Thompson,16.176682982288927,46
49,49,404,Pascal Siakam,15.850025780631633,106
50,50,331,Larry Nance Jr.,15.810063570024347,69
51,51,133,Domantas Sabonis,15.80683704243,79
52,52,337,Lou Williams,15.754084835572842,83
53,53,349,Marc Gasol,15.72002934389008,105
54,54,105,De'Aaron Fox,15.672007901772618,82
55,55,0,Aaron Gordon,15.648922696957651,84
56,56,462,Steven Adams,15.40487944218447,87
57,57,323,Kyle Lowry,15.293691331855836,93
58,58,54,Buddy Hield,15.075226954787013,82
59,59,56,CJ McCollum,15.041744362542952,86
60,60,465,T.J. Warren,15.034037830450178,44
61,61,135,Donovan Mitchell,14.886784912672184,82
62,62,382,Montrezl Harrell,14.886402554414287,88
63,63,122,Derrick Rose,14.54641472628844,58
64,64,224,Jamal Murray,14.502839924789935,89
65,65,42,Bojan Bogdanovic,14.353978408336394,86
66,66,235,Jarrett Allen,14.336084117002795,86
67,67,270,Jonas Valanciunas,14.236096878044314,50
68,68,313,Khris Middleton,14.178520749400333,95
